experiment,architecture_family,params,neural_params,memory_params,tokens_trained,wall_seconds,tokens_per_second,train_loss,val_loss,val_ppl,peak_rss_bytes,status,notes
cloud_r1_dense,lattice,7082240,7082240,0,131072,59.617,2198.568,4.76714,5.223749,185.62888,5505495040,completed,Round 1 common-settings architecture comparison
cloud_r1_engram_05m,mini_engram,7640832,7082240,558592,131072,62.7226,2089.709,4.767236,5.223576,185.59673,5520896000,completed,Round 1 common-settings architecture comparison
cloud_r1_engram_1m,mini_engram,8165120,7082240,1082880,131072,63.5452,2062.659,4.767565,5.222782,185.44932,5521104896,completed,Round 1 common-settings architecture comparison
cloud_r1_engram_2m,mini_engram,9213696,7082240,2131456,131072,62.7556,2088.611,4.769799,5.222599,185.41551,5521006592,completed,Round 1 common-settings architecture comparison
cloud_r1_engram_4m,mini_engram,11310848,7082240,4228608,131072,66.0941,1983.112,4.767385,5.223582,185.59787,5521125376,completed,Round 1 common-settings architecture comparison
cloud_r1_co4_causal,co4_causal,7874816,7874816,0,131072,73.8302,1775.317,4.664996,5.127342,168.56839,5504708608,completed,Round 1 common-settings architecture comparison
cloud_r1_co4_causal,co4_causal,7874816,7874816,0,1048576,539.9582,1941.958,3.964097,4.034405,56.50927,5505175552,completed,Round 1 common-settings architecture comparison
cloud_r1_dense,lattice,7082240,7082240,0,1048576,475.3267,2206.011,4.076487,4.106869,60.7562,5505384448,completed,Round 1 common-settings architecture comparison
cloud_r1_engram_2m,mini_engram,9213696,7082240,2131456,1048576,498.6888,2102.666,4.073802,4.105738,60.68751,5521166336,completed,Round 1 common-settings architecture comparison
cloud_r3_co4_seed1337,co4_causal,7874816,7874816,0,3145728,1512.9748,2079.167,3.590142,3.54564,34.66187,9380044800,completed,Round 2 common-settings architecture comparison
cloud_r3_dense_seed1337,dense,7082240,7082240,0,3145728,1539.0325,2043.965,3.626573,3.609044,36.93075,9379913728,completed,Round 2 common-settings architecture comparison
phase5_co4_s_s1,co4_causal,8923392,8923392,0,524288,267.7303,1958.27,5.090389,4.773466,118.32867,1537548288,completed,Round 1 common-settings architecture comparison
phase5_co4_m_s1,co4_causal,10997280,10997280,0,524288,311.1202,1685.162,5.051229,4.7477,115.3188,1603330048,completed,Round 1 common-settings architecture comparison
phase5_co4_l_s1,co4_causal,15949760,15949760,0,524288,412.5871,1270.733,4.618654,4.359533,78.22057,1857990656,completed,Round 1 common-settings architecture comparison
phase5_co4_xl_s1,co4_causal,22334592,22334592,0,524288,526.4961,995.806,4.628433,4.362815,78.4777,2088148992,completed,Round 1 common-settings architecture comparison
phase5_co4_l_s1,co4_causal,15949760,15949760,0,1048576,824.318,1272.053,3.98642,3.99051,54.08245,1929781248,completed,Round 2 common-settings architecture comparison
phase5_hpo_00_r1,co4_causal,15949760,15949760,0,262144,207.2266,1265.011,5.227482,5.113436,166.24059,1836113920,completed,Round 1 common-settings architecture comparison
phase5_hpo_01_r1,co4_causal,15949760,15949760,0,262144,202.0399,1297.487,5.083448,4.965764,143.41813,1827401728,completed,Round 1 common-settings architecture comparison
phase5_hpo_02_r1,co4_causal,15949760,15949760,0,262144,203.5984,1287.554,5.003735,4.903013,134.695,1829412864,completed,Round 1 common-settings architecture comparison
phase5_hpo_03_r1,co4_causal,15949760,15949760,0,262144,205.115,1278.034,5.086411,4.978966,145.32399,1837506560,completed,Round 1 common-settings architecture comparison
phase5_hpo_04_r1,co4_causal,15949760,15949760,0,262144,213.1829,1229.667,4.989445,4.881274,131.79847,1829289984,completed,Round 1 common-settings architecture comparison
phase6_co4_l_default_1m,co4_causal,15949760,15949760,0,1048576,792.9993,1322.291,3.98642,3.99051,54.08245,1827270656,completed,Round 2 common-settings architecture comparison
phase6_co4_l_hpo_1m,co4_causal,15949760,15949760,0,1048576,795.1391,1318.733,4.191761,4.14882,63.35921,1816846336,completed,Round 2 common-settings architecture comparison
phase6_co4_l_final_3m,co4_causal,15949760,15949760,0,3145728,2401.6371,1309.827,3.53582,3.497365,33.0283,1912020992,completed,Round 2 common-settings architecture comparison
phase6_dense_16m,dense,15582400,15582400,0,1048576,747.2814,1403.188,4.153639,4.123672,61.78572,1743306752,completed,Round 2 common-settings architecture comparison
phase6_co4_l_seed2026_1m,co4_causal,15949760,15949760,0,1048576,804.4464,1303.475,4.086462,3.9958,54.36934,1824866304,completed,Round 2 common-settings architecture comparison
phase6_context_fixed_128,co4_causal,15949760,15949760,0,1310720,993.7373,1318.98,4.711748,3.872539,48.06426,1900838912,completed,Round 2 common-settings architecture comparison
phase6_context_curriculum_256,co4_causal,15949760,15949760,0,1310720,995.4194,1316.752,3.571593,3.978874,53.45683,1905065984,completed,Round 2 common-settings architecture comparison
phase6_co4_s_reconstructed_3m,co4_causal,8923392,8923392,0,3145728,1529.987,2056.049,3.571141,3.523641,33.90766,1525002240,completed,Round 2 common-settings architecture comparison
