checkpoint,nominal_tokens,training_tokens,step,train_loss,common_validation_loss,common_validation_perplexity,babylm_validation_loss,finewebedu_validation_loss,cumulative_training_seconds,interval_training_seconds,tokens_per_second,peak_rss_bytes,learning_rate,babylm_tokens,finewebedu_tokens,babylm_sequences_drawn,finewebedu_sequences_drawn,checkpoint_sha256,preemptions,infrastructure_downtime_seconds
co4-l-data-rich-25m-1000000,1000000,1000448,977,4.634426116943359,4.482193931937218,88.42846604900733,4.120555505156517,5.265760511159897,200.59716136106726,200.59716136106726,4987.348740190952,2936336384,0.0003,750336,250112,5862,1954,2c89ed01671b92eda1405e9912ef64726463303443e7de884c07ba53d3d98131,0,0.0
co4-l-data-rich-25m-3000000,3000000,3000320,2930,3.809502601623535,3.9255517423152924,50.68103321671609,3.632836550474167,4.579768538475037,600.6474241910073,400.05026282994004,4995.143372238771,2989920256,0.0003,2250240,750080,17580,5860,953301ebc196d584783cc0ad2011b4fa33179c1b467f991e7793f1453aa446c0,0,0.0
co4-l-data-rich-25m-5000000,5000000,5000192,4883,3.6476244926452637,3.771231383085251,43.43351521612073,3.483284652233124,4.370639055967331,1001.1615197188876,400.5140955278803,4994.390916466691,3006951424,0.0003,3750144,1250048,29298,9766,45e991a789c7e0537f498289e2360bc23bc195a214abe586fcbe37b9bcbab4c0,0,0.0
co4-l-data-rich-25m-7500000,7500000,7499776,7324,3.8441271781921387,3.639259323477745,38.063633442291135,3.387596696615219,4.225630223751068,1501.6838664510105,500.52234673212297,4994.244239784316,3016232960,0.0003,5624832,1874944,43944,14648,79ebf226ad453027ab37043391f52e8f460d67a294685281381d29fb8a8d3c67,0,0.0
co4-l-data-rich-25m-10000000,10000000,10000000,9766,3.876941680908203,3.5749310553073883,35.69215994582878,3.323829084634781,4.142117440700531,2004.038078111007,502.3542116599965,4989.9251462456905,3132907520,0.0003,7500000,2500000,58594,19532,0835a3ba9fa374ed7b6c45a073e503c25b31190949b69b8cfcbcd5fb40690cb8,0,0.0
co4-l-data-rich-25m-15000000,15000000,15000192,14649,3.4603371620178223,3.46490715444088,31.973491038663255,3.238322153687477,4.011562526226044,3013.112585469993,1009.074507358986,4978.304518833714,3132907520,0.0003,11250144,3750048,87892,29298,919caac41e557b01b2e8fa2d5d1ec5fc1b1e3654bc9d0515439df88043c07b1e,0,0.0
co4-l-data-rich-25m-20000000,20000000,20000384,19532,3.2058563232421875,3.378953754901886,29.340058157425695,3.1850055307149887,3.926813021302223,4022.694735488083,1009.58215001809,4971.88708443553,3132907520,0.0003,15000288,5000096,117190,39064,55d925e32e8a4cacd34e431884afda5372815d9fa72aaffc9471ba2a827ccf96,0,0.0
co4-l-data-rich-25m-25000000,25000000,25000000,24415,3.807729959487915,3.3286044895648956,27.899380647452972,3.1451042741537094,3.854533702135086,5035.275687180936,1012.580951692853,4964.971444095164,3132907520,0.0003,18750000,6250000,146488,48830,35bbbe4dd1ba1ee75f191a647ede62192bc16ca792db6ce3733ec34ea18088de,0,0.0
co4-l-data-rich-25m-30000000,30000000,30000192,29298,2.911381244659424,3.2712108492851257,26.343217705751712,3.121431738138199,3.7892277389764786,6037.981153248871,1002.705466067935,4986.700650598855,3039940608,0.0003,22500144,7500048,175786,58596,59654519a7de4d9c93218962b16cf0eb9b0251a7a5d7ac19a1f061dae8848277,0,0.0
co4-l-data-rich-25m-35000000,35000000,35000384,34181,2.995230197906494,3.259790748357773,26.044086804358006,3.088032975792885,3.764940321445465,7033.690494335882,995.7093410870111,5004.158277948861,3039940608,0.0003,26250288,8750096,205084,68362,f74895f544ba9f0bd164d109d2f8a15f5717a1e5be48b757c6112d200059161e,0,0.0
co4-l-data-rich-25m-40000000,40000000,39999552,39063,3.4196901321411133,3.241771414875984,25.57899264682841,3.0733188092708588,3.7409283369779587,8027.635835818728,993.9453414828458,5012.615880086568,3039940608,0.0003,29999664,9999888,234376,78126,ba2bfcbb60ee34218df091e8c9c224cb1d3f7f20653a1a57b3396a55d1549570,0,0.0
co4-l-data-rich-25m-50000000,50000000,50000000,48830,4.808559417724609,3.2081798762083054,24.734026240028594,3.05867175757885,3.694579541683197,10053.670628647651,2026.034792828923,4981.672485245513,3039940608,0.0003,37500000,12500000,292978,97660,444b41c191cc42a8b7844cfc33623d857fd0602c0f1a8975dd25da50ad2b13fc,0,0.0
co4-l-data-rich-25m-60000000,60000000,60000384,58596,3.4169058799743652,3.1823146045207977,24.102476740240657,3.0383477360010147,3.6790746599435806,12099.80186331538,2046.1312346677296,4887.459724265417,3278340096,0.0003,45000288,15000096,351574,117192,b358092ae461737439ee96435fc5edc11173c9c84e125af152a8916a95c22110,0,0.0
co4-l-data-rich-25m-75000000,75000000,74999936,73244,3.0830883979797363,3.158946454524994,23.54577631097775,3.0162266194820404,3.6230498403310776,15158.733652900319,3058.931789584938,4897.086653236715,3278340096,0.0003,56249952,18749984,439462,146488,4a1d14ecde2919d1c5e9683233c7c7cc5f7f514bd7785f43d65b056de04f9427,0,0.0
co4-l-data-rich-25m-90000000,90000000,89999488,87892,2.7674601078033447,3.135461136698723,22.999239190283753,3.00140780210495,3.601295903325081,18224.126432429908,3065.3927795295895,4895.625037404093,3278340096,0.0003,67499616,22499872,527350,175784,4dfe1f072b905a68d2b8583507292f1a2bd64fff7e2dca0aa41fedf164b4e113,0,0.0
co4-l-data-rich-25m-100000000,100000000,100000000,97659,3.0903806686401367,3.1347223222255707,22.982253294983767,2.978330612182617,3.5888722985982895,20268.695470971597,2044.5690385416892,4894.750700246448,3278340096,0.0003,75000000,25000000,585952,195318,3bf27b6097771e37b3c58074ae7514193d79c098e85007949b56cef4b7603cb4,0,0.0
