bandwidth_gbps,case,category,median_ms,p25_ms,p75_ms,stdev_ms,threads
,256x256@256x256,gemm,0.261175,0.258195,0.284351,0.0379750244697247,1
,256x768@768x256,gemm,0.782049,0.780134,0.803793,0.013534465572505358,1
,512x512@512x512,gemm,1.928722,1.910326,1.945085,0.028310066951696227,1
,1024x256@256x768,gemm,2.707907,2.694708,2.749375,0.041357922262908284,1
,1x256@256x64,gemm,0.004953,0.004905,0.00507,0.00011032203941621278,1
,128x256@256x64,gemm,0.039762,0.039677,0.039988,0.00023708186249439298,1
,8x128x256,rmsnorm,0.317483,0.31369,0.351544,0.018527986163793246,1
,b2_h4_t64_d64,attention,0.149412,0.149068,0.152031,0.013355513953134895,1
,b2_h4_t128_d64,attention,0.457478,0.455,0.472653,0.014768556132476027,1
,b2_h4_t256_d64,attention,1.562836,1.536137,1.582241,0.02127101719644426,1
,256x256@256x256,gemm,0.135305,0.134677,0.160435,0.016572426757088043,2
,256x768@768x256,gemm,0.405427,0.402565,0.436956,0.0173458950063532,2
,512x512@512x512,gemm,1.004029,0.960638,1.091323,0.14878096791688683,2
,1024x256@256x768,gemm,1.414731,1.402617,1.532084,0.08872112310841793,2
,1x256@256x64,gemm,0.005892,0.005774,0.005912,0.00011237988296504888,2
,128x256@256x64,gemm,0.028267,0.028042,0.028319,0.0001627665579317582,2
,8x128x256,rmsnorm,0.158052,0.157732,0.159161,0.0007367382425904306,2
,b2_h4_t64_d64,attention,0.081184,0.081166,0.083287,0.007832086269528273,2
,b2_h4_t128_d64,attention,0.417649,0.416919,0.42034,0.006316862874198606,2
,b2_h4_t256_d64,attention,0.909012,0.864819,0.94862,0.03963327298645733,2
,256x256@256x256,gemm,0.09682,0.096458,0.101329,0.017715173295928036,3
,256x768@768x256,gemm,0.29131,0.289463,0.291647,0.007919902049658839,3
,512x512@512x512,gemm,0.662408,0.657498,0.688989,0.10688408571549879,3
,1024x256@256x768,gemm,1.934161,1.878735,1.978039,0.8998335253803763,3
,1x256@256x64,gemm,0.00753,0.007461,0.007933,0.000256664780450707,3
,128x256@256x64,gemm,0.038574,0.03844,0.038735,0.0035692384074930915,3
,8x128x256,rmsnorm,0.209163,0.208262,0.218403,0.01289016379333667,3
,b2_h4_t64_d64,attention,0.100745,0.100067,0.101472,0.015531629080838938,3
,b2_h4_t128_d64,attention,0.475369,0.47249,0.50076,0.01673462433456596,3
,b2_h4_t256_d64,attention,1.402529,1.385855,1.443956,0.031435028855448154,3
,256x256@256x256,gemm,0.198255,0.190909,0.251433,0.07913273739194707,4
,256x768@768x256,gemm,0.535305,0.517349,0.616243,0.07053882637580662,4
,512x512@512x512,gemm,1.078532,1.064163,1.190332,0.06099285278894022,4
,1024x256@256x768,gemm,1.509105,1.466905,1.563438,0.07032690076452155,4
,1x256@256x64,gemm,0.04012,0.03985,0.04191,0.0012307486687842845,4
,128x256@256x64,gemm,0.066523,0.064625,0.073326,0.010858297332104189,4
,8x128x256,rmsnorm,0.327606,0.326917,0.335561,0.014522922121679943,4
,b2_h4_t64_d64,attention,0.158027,0.157676,0.161967,0.010635198359356402,4
,b2_h4_t128_d64,attention,0.489492,0.485744,0.516456,0.18222893052578515,4
,b2_h4_t256_d64,attention,1.381523,1.296515,1.430718,0.10497827870519101,4
,500000_random,gather,0.065689,0.061267,0.111546,0.024463488661190386,3
,500000_local,gather,0.057704,0.057401,0.058806,0.0007013391951592791,3
,2000000_random,gather,0.07116,0.070272,0.072901,0.0017403568052338616,3
,2000000_local,gather,0.062104,0.057136,0.111961,0.08872221286878124,3
,8000000_random,gather,0.079482,0.079117,0.081281,0.001295690733234779,3
,8000000_local,gather,0.060023,0.059546,0.069906,0.026340893086063508,3
,16000000_random,gather,0.091475,0.089646,0.104184,0.04112799897879789,3
,16000000_local,gather,0.061362,0.061176,0.061431,0.0005333228719212089,3
42.199564377413566,fp32_add_triad,memory,2.274905,2.211603,2.41321,0.12638623363966117,3
