checkpoint,nominal_tokens,training_tokens,step,train_loss,common_validation_loss,common_validation_perplexity,data_d_balanced_validation_loss,fineweb_edu_validation_loss,wikipedia_validation_loss,fineweb_validation_loss,cumulative_training_seconds,interval_training_seconds,tokens_per_second,peak_rss_bytes,learning_rate,fineweb_edu_tokens,wikipedia_tokens,fineweb_tokens,fineweb_edu_sequences_drawn,wikipedia_sequences_drawn,fineweb_sequences_drawn,checkpoint_sha256,preemptions
co4-l-data-d-v2r1-1000000,1000000,1000448,977,4.804593086242676,5.495872467756271,243.68403990903133,4.9118189215660095,4.918755203485489,4.908945292234421,5.078963905572891,199.78053584700683,199.78053584700683,5007.735091701572,1654902784,0.0003,500224,250112,250112,3908,1954,1954,3110c4203891b5a28f8bb01ec9942b4071529723b7fda81fc04cd116a5723c2e,0
co4-l-data-d-v2r1-3000000,3000000,3000320,2930,4.492203712463379,4.95569434762001,141.98115643305482,4.353484898805618,4.338605880737305,4.292935326695442,4.555821090936661,603.4236903210112,403.6431544740044,4972.161431719527,1703469056,0.0003,1500160,750080,750080,11720,5860,5860,0789e1f087a1e1f5572e5ae990e33cd6061b882b8c97312f2583bdefa89e00c6,0
co4-l-data-d-v2r1-5000000,5000000,5000192,4883,4.292337894439697,4.887180268764496,132.57920875845787,4.171114459633827,4.178703561425209,4.111034944653511,4.374692678451538,1005.7862779380084,402.3625876169972,4971.425947718275,1704214528,0.0003,2500096,1250048,1250048,19532,9766,9766,2fd3a0f132863973cd17398e1ec2707c7de8f1f0492a22531e1b3e5cb57a936e,0
co4-l-data-d-v2r1-7500000,7500000,7499776,7324,4.12197732925415,4.7535461485385895,115.9948911746418,4.038888081908226,4.039234235882759,3.973528653383255,4.267197370529175,1506.2360145310085,500.4497365930001,4979.1506295480385,1704542208,0.0003,3749888,1874944,1874944,29296,14648,14648,0b93504f50fe7d966a72214015a81aa299454dc714dc50005310bd63294a4c67,0
co4-l-data-d-v2r1-10000000,10000000,10000384,9766,3.9180970191955566,4.708871632814407,110.92692296248875,3.955615371465683,3.963665410876274,3.8918366581201553,4.1826759576797485,2006.495135115998,500.25912058498943,4984.006103469504,1704923136,0.0003,5000192,2500096,2500096,39064,19532,19532,6779395e8cea6da562ae309f34e3bc6c61ad8c30908ef211b367b58500f20bc9,0
co4-l-data-d-v2r1-15000000,15000000,14999552,14648,3.8360800743103027,4.633843868970871,102.90887305140517,3.8482221364974976,3.8274341970682144,3.7583698481321335,4.072690963745117,3000.254998158998,993.7598630430002,4999.425718548574,1705463808,0.0003,7499776,3749888,3749888,58592,29296,29296,f38ff7bf69a5481215f46e6fddef02c887c3adf2c482c2042d062f6f9d1f3a4b,0
co4-l-data-d-v2r1-20000000,20000000,19999744,19531,3.589505195617676,4.458024859428406,86.31685269884446,3.752902165055275,3.7524417340755463,3.633444622159004,4.001061305403709,3992.2207944980037,991.9657963390055,5009.678830279937,1705463808,0.0003,9999872,4999936,4999936,78124,39062,39062,6ef82730e79e6282f15d2fff7685b1196cc90152744d9ca8aef31232b40499d8,0
co4-l-data-d-v2r1-25000000,25000000,24999936,24414,3.6930959224700928,4.466390699148178,87.04199463502357,3.6954092532396317,3.693827211856842,3.5785317718982697,3.9366154968738556,4984.849133905998,992.6283394079946,5015.184076475891,1705463808,0.0003,12499968,6249984,6249984,97656,48828,48828,4bef17d38cec82167e7aa617a0c0f113511264521b00081c7a896970af853f78,0
co4-l-data-d-v2r1-25000000,25000000,25000000,24415,4.274962425231934,4.46479931473732,86.90358752034344,3.6956862956285477,3.694157361984253,3.579136088490486,3.936518684029579,4992.790273161998,7.9411392559995875,5007.220137882375,1705463808,0.0003,12500000,6250000,6250000,97660,48830,48830,6760880ba5196ae9af8688eb126a65db1ef7f0fd80613549c01692ba0676a894,0
co4-l-data-d-v2r1-35000000,35000000,35000384,34181,3.520068407058716,4.308803111314774,74.35144525972684,3.6191023886203766,3.628151535987854,3.4681383073329926,3.8680881708860397,7048.365423042007,2055.575149880009,4865.005300625354,1761157120,0.0003,17500192,8750096,8750096,136724,68362,68362,96221fa51feca3dbc125406bd62e9c86fc91e6ff2ca14d9ba7946c18ae8c4f32,1
co4-l-data-d-v2r1-50000000,50000000,49999936,48829,3.4871277809143066,4.182600274682045,65.5360435621251,3.5553489178419113,3.566966861486435,3.3863165825605392,3.7998777627944946,10121.099514678994,3072.7340916369867,4874.888549545583,1762492416,0.0003,24999968,12499984,12499984,195316,97658,97658,2cfc140b42457469557d1ab21f6957ee2db60899cd5e94b3a08cdc8ce07ab3c7,1
co4-l-data-d-v2r1-50000000,50000000,50000000,48830,4.286826133728027,4.18076428771019,65.41583062841647,3.555686503648758,3.5676823556423187,3.387220099568367,3.800113543868065,10129.729738430993,8.630223751999438,4866.711038552384,1762492416,0.0003,25000000,12500000,12500000,195320,97660,97660,cc9801ea6b908162e611ce0b8b4dcd02ceba496e812595b3c49789e7adfea8f9,1
co4-l-data-d-v2r1-75000000,75000000,74999936,73244,3.4548158645629883,4.106836169958115,60.754197225037224,3.4926038533449173,3.4988837391138077,3.313055619597435,3.740896835923195,15107.211227960972,4977.481489529979,5022.607528041402,1760854016,0.0003,37499968,18749984,18749984,292976,146488,146488,9ef9ae257a8fd640e3c748046fc09e627d25f3dd7a30d06708b81e815af1ca76,2
co4-l-data-d-v2r1-100000000,100000000,99999872,97658,3.3335213661193848,4.021293044090271,55.77317639767778,3.4653525799512863,3.4664389342069626,3.2840528041124344,3.718788430094719,20114.660460388986,5007.4492324280145,5007.53319099597,1882697728,0.0003,49999936,24999968,24999968,390632,195316,195316,5c7de7685996735f2145a8d24f2cd5daeb0c3327f36dccb4054e868637b260ff,2
co4-l-data-d-v2r1-100000000,100000000,100000000,97659,3.7519683837890625,4.017913281917572,55.58499450998064,3.465799629688263,3.4668063521385193,3.2836159020662308,3.7189749032258987,20122.914132671984,8.253672282997286,5003.410127087686,1882697728,0.0003,50000000,25000000,25000000,390636,195318,195318,50d8cdf06adec7693a3d07cda574c4e00a93b1fd0c2d2381c0a4ad00fc3efe5e,2
