experiment_id,dataset_regime,source_ratios,seed,model_parameters,train_tokens,babylm_tokens,finewebedu_tokens,unique_documents_seen,wall_seconds,tokens_per_second,train_loss,own_validation_loss,common_validation_loss,common_validation_perplexity,peak_ram_bytes,checkpoint_hash,status
phase7a_data_a_1m,DATA-A,100/0,1337,8923392,262144,262144,0,,132.80301573999986,1973.931077839545,4.573097229003906,4.762347936630249,5.395892113447189,220.4987692959782,3058163712,screening_not_persisted,completed
phase7a_data_a_1m,DATA-A,100/0,1337,8923392,524288,524288,0,,268.7971344319999,1950.4969839350501,4.938677787780762,4.44135457277298,5.097322404384613,163.5833104146805,3059056640,screening_not_persisted,completed
phase7a_data_a_1m,DATA-A,100/0,1337,8923392,786432,786432,0,,398.09164875800025,1975.5048930405262,4.378729343414307,4.238736391067505,4.8997693955898285,134.25881543988214,3061985280,screening_not_persisted,completed
phase7a_data_a_1m,DATA-A,100/0,1337,8923392,1048576,1048576,0,,525.4776795140001,1995.4720074310278,4.179970741271973,4.0988485515117645,4.752617061138153,115.88717183082765,3061985280,0c3e3c75381fd7305bd62268e3858427ee25a48a257628dfb3160c82424cd653,completed
phase7a_data_b_1m,DATA-B,0/100,1337,8923392,262144,0,262144,,129.47975111799997,2024.594561979795,6.025844573974609,5.947205066680908,6.32318714261055,557.3465075303925,3039690752,screening_not_persisted,completed
phase7a_data_b_1m,DATA-B,0/100,1337,8923392,524288,0,524288,,252.3466565929998,2077.649876873954,4.929717540740967,5.346330523490906,5.8818740248680115,358.4804138260105,3044958208,screening_not_persisted,completed
phase7a_data_b_1m,DATA-B,0/100,1337,8923392,786432,0,786432,,375.9038814239998,2092.109283417976,5.107143402099609,5.059688955545425,5.68066868185997,293.14538540086363,3052580864,screening_not_persisted,completed
phase7a_data_b_1m,DATA-B,0/100,1337,8923392,1048576,0,1048576,,501.3102088769997,2091.6709483115196,4.6340765953063965,4.862342149019241,5.483731627464294,240.74339795176894,3064381440,33c174eae39b4c02c7178703fa27096e2ff07fa5a4f8650b4be60cfa44c125a1,completed
phase7a_data_c_1m,DATA-C,75/25,1337,8923392,262144,196608,65536,,128.02778505700007,2047.5555355682297,5.091526031494141,5.675397485494614,5.344544887542725,209.46253389436194,3057418240,screening_not_persisted,completed
phase7a_data_c_1m,DATA-C,75/25,1337,8923392,524288,393216,131072,,250.55807418099994,2092.4809616043785,4.4325480461120605,5.286678671836853,5.001103892922401,148.57708179840697,3057418240,screening_not_persisted,completed
phase7a_data_c_1m,DATA-C,75/25,1337,8923392,786432,589824,196608,,377.95407126400005,2080.76075849618,4.674285411834717,5.025050491094589,4.751790881156921,115.7914677092379,3061833728,screening_not_persisted,completed
phase7a_data_c_1m,DATA-C,75/25,1337,8923392,1048576,786432,262144,,500.1091171520002,2096.6944293505094,4.502298355102539,4.817604154348373,4.552270948886871,94.84755788161904,3064856576,f2a50831d3b5d7c6cdd972dbbf1aea0ac1142beb40cae7babac4f5bb7c4f9f20,completed
phase7a_data_a_3m,DATA-A,100/0,1337,8923392,1572864,1572864,0,,772.6925306509993,2035.562578396934,3.891018867492676,3.920047774910927,4.510404750704765,90.95862662920372,3086761984,screening_not_persisted,completed
phase7a_data_a_3m,DATA-A,100/0,1337,8923392,2097152,2097152,0,,1009.1247054569994,2078.1891362478027,3.8291914463043213,3.779756113886833,4.325861528515816,75.63064275547025,3086761984,screening_not_persisted,completed
phase7a_data_a_3m,DATA-A,100/0,1337,8923392,2621440,2621440,0,,1249.278789811,2098.362688440897,3.671269416809082,3.689895749092102,4.23329022526741,68.94369970774896,3087335424,screening_not_persisted,completed
phase7a_data_a_3m,DATA-A,100/0,1337,8923392,3145728,3145728,0,,1489.4517115029994,2112.004018462377,3.638726234436035,3.6268391609191895,4.144128426909447,63.062634247316616,3091087360,1724130b72a9eb950658b61c0ea871e18ba8268a6cf7e46f5f29ad7c88e56d32,completed
phase7a_data_c_3m,DATA-C,75/25,1337,8923392,1572864,1179648,393216,,747.5209603379999,2104.106885897637,4.72391939163208,4.544214978814125,4.286012575030327,72.67609947825977,3106463744,screening_not_persisted,completed
phase7a_data_c_3m,DATA-C,75/25,1337,8923392,2097152,1572864,524288,,988.505771307,2121.5374364756117,3.7297303676605225,4.364649280905724,4.131917282938957,62.297249960865486,3106463744,screening_not_persisted,completed
phase7a_data_c_3m,DATA-C,75/25,1337,8923392,2621440,1966080,655360,,1231.5715879670006,2128.5323773401633,4.002167701721191,4.257031589746475,4.04466649889946,57.092142566434596,3106463744,screening_not_persisted,completed
phase7a_data_c_3m,DATA-C,75/25,1337,8923392,3145728,2359296,786432,,1473.5002455550002,2134.8676455870886,3.878784656524658,4.167269647121429,3.957705408334732,52.33709579849723,3106463744,f8eb483f19e19035a20f24b2ae00aeda0ab7a4e7bb519fdc78ee936f63b1b7a3,completed
