model,parameters,training_tokens,tokens_per_parameter,common_validation_loss,common_validation_perplexity,cumulative_training_seconds,tokens_per_second
Co4-S,8923392,1000448,0.11211521358694093,4.558659762144089,95.45546103897601,129.2844526360177,7738.3473387679605
Co4-S,8923392,3000320,0.3362308861921565,3.9747865349054337,53.23875107764161,388.56567364600687,7721.526124135626
Co4-S,8923392,5000192,0.5603465587973722,3.8051519989967346,44.93207922495459,646.3524615829865,7736.014476921761
Co4-S,8923392,7499776,0.840462460911725,3.675048843026161,39.45058369603536,967.4336771269946,7752.237881848626
Co4-S,8923392,10000000,1.1206500846314944,3.6261813789606094,37.56908027416645,1289.8535308259961,7752.818254950391
Co4-S,8923392,15000192,1.6809966434288666,3.515840247273445,33.64418548571227,1949.6962219339493,7577.854642299806
Co4-S,8923392,20000384,2.2413432022262385,3.4569482058286667,31.720025663457637,2611.223257990896,7568.195179903653
Co4-S,8923392,25000000,2.801625211578736,3.4008999168872833,29.991077383901626,3275.9273013519705,7552.589547581373
Co4-L,15949760,1000448,0.06272495636297976,4.482193931937218,88.42846604900733,200.59716136106726,4987.348740190952
Co4-L,15949760,3000320,0.18811066749593724,3.9255517423152924,50.68103321671609,600.6474241910073,4995.143372238771
Co4-L,15949760,5000192,0.31349637862889473,3.771231383085251,43.43351521612073,1001.1615197188876,4994.390916466691
Co4-L,15949760,7499776,0.47021246714684106,3.639259323477745,38.063633442291135,1501.6838664510105,4994.244239784316
Co4-L,15949760,10000000,0.6269686816604138,3.5749310553073883,35.69215994582878,2004.038078111007,4989.9251462456905
Co4-L,15949760,15000192,0.9404650602893084,3.46490715444088,31.973491038663255,3013.112585469993,4978.304518833714
Co4-L,15949760,20000384,1.2539614389182032,3.378953754901886,29.340058157425695,4022.694735488083,4971.88708443553
Co4-L,15949760,25000000,1.5674217041510343,3.3286044895648956,27.899380647452972,5035.275687180936,4964.971444095164
