tokens,tokens_per_parameter,elapsed_training_seconds,tokens_per_second,cpu_hours,train_loss,data_d_validation,fineweb_edu_validation,wikipedia_validation,fineweb_validation,wikitext_ppl,wikitext_bpb,scaling_status,checkpoint_sha256
205000000,6.273210880256951,60922.57238505501,3357.17547435075,270.7669883780223,3.54445743560791,3.263039782643318,3.244509682059288,3.1351048052310944,3.4409416019916534,,,HEALTHY,551778a5c994b2825f837c6456c28c8f31c6d587a402daf088cc17e7c6519bda
250000000,7.6502571710450615,74265.50973692402,3372.5707326128327,330.0689321641068,3.4910311698913574,3.2392814457416534,3.2195478677749634,3.1097743213176727,3.4203999638557434,,,HEALTHY,9cd9d6f5e2df69118eac6e62806c516c321f9564a54b4c7e1f07ba318462a5b9
300000000,9.180308605254075,89065.57044391194,3378.3645209233678,395.84697975071975,3.7393922805786133,3.2357819229364395,3.2205261886119843,3.1147412806749344,3.414822593331337,,,HEALTHY,6ad8dfa9b27029552b9a00058d26676cb73f8e5015b386c0bb5fd931c49166ca
400000000,12.240411473672099,118605.395580329,3385.260391291849,527.1350914681288,3.6852686405181885,3.2205471098423004,3.204415649175644,3.092681512236595,3.397756427526474,,,HEALTHY,d181bb1b8b88691536b7ed3cb6a3876189b6f8c2455658bf33d6508196aa890a
500000000,15.300514342090123,148339.57913746202,3363.1325308749138,659.2870183887201,3.2101941108703613,3.199929177761078,3.2014177292585373,3.0774641185998917,3.3820703327655792,,,HEALTHY,c898133f9e2ae816594ea2b0f401ea96d66aaeb6f4fe8b462dcd6522ec45bd29
512000000,15.667726686300286,151904.24155160395,3366.3776834498885,675.1299624515731,3.41601300239563,3.2021664828062057,3.1812993586063385,3.0733294039964676,3.3889863193035126,45.31746698808732,1.7579127486117276,SLOWING,ec9b08e1cd63bf7cdaa89c9142793893ad263d0ecf47c293eb6a763a62332074
600000000,18.36061721050815,177889.24407834397,3386.568845219202,790.6188625704176,3.296825885772705,3.197580009698868,3.184483617544174,3.0644903779029846,3.379041388630867,,,HEALTHY,64e74f447a1a84ec61f63735562781052d64241bd9594f1c058bc0268b58a933
700000000,21.420720078926173,207562.14872204198,3370.0778943202713,922.498438764631,3.5791053771972656,3.199136897921562,3.179837018251419,3.05805966258049,3.3818944096565247,,,SLOWING,5cf5ca4a7ffb46005558db21a1e62bc8526c34cd15301d130b7a41a0f46c9260
750000000,22.950771513135187,222314.53524476197,3389.282128894573,988.064601087831,3.8560574054718018,3.190330430865288,3.172397494316101,3.05911585688591,3.3820530623197556,,,HEALTHY,27a0cf2345e1991b05ea1a679da6e3ca155db04c629c4eec9eb5f41bb47cdca7
800000000,24.480822947344198,237059.98828117293,3390.875809412904,1053.5999479163243,3.5267815589904785,3.193050280213356,3.176380753517151,3.0657604783773422,3.367807626724243,,,SLOWING,0f4eccc45b54fa25acd266dc8def73cbadc90883d8130e47eb7b3f71ee23ebd6
900000000,27.540925815762222,266739.06462209194,3369.37709419644,1185.5069538759642,3.8009519577026367,3.18121500313282,3.1758924573659897,3.051992893218994,3.370075598359108,47.343548679771416,1.7780736876410455,HEALTHY,68fe5a3609919e7201557dfaf54320bd1adda10181904ceb09012735fd8afa99
