model,architecture,parameters,training_tokens,task,metric,score,few_shot,batch_size,lm_eval_version,task_configuration,checkpoint_sha256,tokenizer_sha256,evaluation_wall_seconds,status
Co4-S,untied Co4 causal adaptation,8923392,3145728,hellaswag,"acc,none",0.25423222465644296,0,8,0.4.13,lm-evaluation-harness 0.4.13 default,bb5c10cc17c5fbf40a7c6c67a12a3bcc2eb7872f79b5786550feab0e8d18baba,4f313ebc481a77e8ad2179cf2d7a3836b28d50773ef9f62ef08831bf076637e5,754.5694111339981,completed
Co4-S,untied Co4 causal adaptation,8923392,3145728,hellaswag,"acc_norm,none",0.24576777534355707,0,8,0.4.13,lm-evaluation-harness 0.4.13 default,bb5c10cc17c5fbf40a7c6c67a12a3bcc2eb7872f79b5786550feab0e8d18baba,4f313ebc481a77e8ad2179cf2d7a3836b28d50773ef9f62ef08831bf076637e5,754.5694111339981,completed
Co4-S,untied Co4 causal adaptation,8923392,3145728,arc_easy,"acc,none",0.2478956228956229,0,8,0.4.13,lm-evaluation-harness 0.4.13 default,bb5c10cc17c5fbf40a7c6c67a12a3bcc2eb7872f79b5786550feab0e8d18baba,4f313ebc481a77e8ad2179cf2d7a3836b28d50773ef9f62ef08831bf076637e5,754.5694111339981,completed
Co4-S,untied Co4 causal adaptation,8923392,3145728,arc_easy,"acc_norm,none",0.25126262626262624,0,8,0.4.13,lm-evaluation-harness 0.4.13 default,bb5c10cc17c5fbf40a7c6c67a12a3bcc2eb7872f79b5786550feab0e8d18baba,4f313ebc481a77e8ad2179cf2d7a3836b28d50773ef9f62ef08831bf076637e5,754.5694111339981,completed
Co4-S,untied Co4 causal adaptation,8923392,3145728,piqa,"acc,none",0.5168661588683352,0,8,0.4.13,lm-evaluation-harness 0.4.13 default,bb5c10cc17c5fbf40a7c6c67a12a3bcc2eb7872f79b5786550feab0e8d18baba,4f313ebc481a77e8ad2179cf2d7a3836b28d50773ef9f62ef08831bf076637e5,754.5694111339981,completed
Co4-S,untied Co4 causal adaptation,8923392,3145728,piqa,"acc_norm,none",0.5016322089227421,0,8,0.4.13,lm-evaluation-harness 0.4.13 default,bb5c10cc17c5fbf40a7c6c67a12a3bcc2eb7872f79b5786550feab0e8d18baba,4f313ebc481a77e8ad2179cf2d7a3836b28d50773ef9f62ef08831bf076637e5,754.5694111339981,completed
Co4-S,untied Co4 causal adaptation,8923392,3145728,winogrande,"acc,none",0.4988161010260458,0,8,0.4.13,lm-evaluation-harness 0.4.13 default,bb5c10cc17c5fbf40a7c6c67a12a3bcc2eb7872f79b5786550feab0e8d18baba,4f313ebc481a77e8ad2179cf2d7a3836b28d50773ef9f62ef08831bf076637e5,754.5694111339981,completed
Co4-S,untied Co4 causal adaptation,8923392,3145728,wikitext_103,word_perplexity,263.3073798874035,0,8,0.4.13 + native rolling evaluator,Salesforce/wikitext wikitext-103-raw-v1 test; per-document BOS; 128-token rolling windows,bb5c10cc17c5fbf40a7c6c67a12a3bcc2eb7872f79b5786550feab0e8d18baba,4f313ebc481a77e8ad2179cf2d7a3836b28d50773ef9f62ef08831bf076637e5,81.16371119300311,completed
Co4-L,untied Co4 causal adaptation,15949760,3145728,hellaswag,"acc,none",0.25492929695279826,0,8,0.4.13,lm-evaluation-harness 0.4.13 default,515ec700ffd686ea277746d14217555f6d0061a712c763e3c3851664099c6210,4f313ebc481a77e8ad2179cf2d7a3836b28d50773ef9f62ef08831bf076637e5,1057.9102339480014,completed
Co4-L,untied Co4 causal adaptation,15949760,3145728,hellaswag,"acc_norm,none",0.2440748854809799,0,8,0.4.13,lm-evaluation-harness 0.4.13 default,515ec700ffd686ea277746d14217555f6d0061a712c763e3c3851664099c6210,4f313ebc481a77e8ad2179cf2d7a3836b28d50773ef9f62ef08831bf076637e5,1057.9102339480014,completed
Co4-L,untied Co4 causal adaptation,15949760,3145728,arc_easy,"acc,none",0.25462962962962965,0,8,0.4.13,lm-evaluation-harness 0.4.13 default,515ec700ffd686ea277746d14217555f6d0061a712c763e3c3851664099c6210,4f313ebc481a77e8ad2179cf2d7a3836b28d50773ef9f62ef08831bf076637e5,1057.9102339480014,completed
Co4-L,untied Co4 causal adaptation,15949760,3145728,arc_easy,"acc_norm,none",0.2601010101010101,0,8,0.4.13,lm-evaluation-harness 0.4.13 default,515ec700ffd686ea277746d14217555f6d0061a712c763e3c3851664099c6210,4f313ebc481a77e8ad2179cf2d7a3836b28d50773ef9f62ef08831bf076637e5,1057.9102339480014,completed
Co4-L,untied Co4 causal adaptation,15949760,3145728,piqa,"acc,none",0.5244831338411317,0,8,0.4.13,lm-evaluation-harness 0.4.13 default,515ec700ffd686ea277746d14217555f6d0061a712c763e3c3851664099c6210,4f313ebc481a77e8ad2179cf2d7a3836b28d50773ef9f62ef08831bf076637e5,1057.9102339480014,completed
