dataset_regime,training_tokens,task,metric,score,checkpoint_sha256,tokenizer_sha256,evaluation_wall_seconds,status
DATA-A,3145728,hellaswag,"acc,none",0.2535351523600876,1724130b72a9eb950658b61c0ea871e18ba8268a6cf7e46f5f29ad7c88e56d32,4f313ebc481a77e8ad2179cf2d7a3836b28d50773ef9f62ef08831bf076637e5,756.2350308690002,completed
DATA-A,3145728,hellaswag,"acc_norm,none",0.24815773750248954,1724130b72a9eb950658b61c0ea871e18ba8268a6cf7e46f5f29ad7c88e56d32,4f313ebc481a77e8ad2179cf2d7a3836b28d50773ef9f62ef08831bf076637e5,756.2350308690002,completed
DATA-A,3145728,arc_easy,"acc,none",0.25,1724130b72a9eb950658b61c0ea871e18ba8268a6cf7e46f5f29ad7c88e56d32,4f313ebc481a77e8ad2179cf2d7a3836b28d50773ef9f62ef08831bf076637e5,756.2350308690002,completed
DATA-A,3145728,arc_easy,"acc_norm,none",0.255050505050505,1724130b72a9eb950658b61c0ea871e18ba8268a6cf7e46f5f29ad7c88e56d32,4f313ebc481a77e8ad2179cf2d7a3836b28d50773ef9f62ef08831bf076637e5,756.2350308690002,completed
DATA-A,3145728,piqa,"acc,none",0.5233949945593036,1724130b72a9eb950658b61c0ea871e18ba8268a6cf7e46f5f29ad7c88e56d32,4f313ebc481a77e8ad2179cf2d7a3836b28d50773ef9f62ef08831bf076637e5,756.2350308690002,completed
DATA-A,3145728,piqa,"acc_norm,none",0.4967355821545158,1724130b72a9eb950658b61c0ea871e18ba8268a6cf7e46f5f29ad7c88e56d32,4f313ebc481a77e8ad2179cf2d7a3836b28d50773ef9f62ef08831bf076637e5,756.2350308690002,completed
DATA-A,3145728,winogrande,"acc,none",0.500394632991318,1724130b72a9eb950658b61c0ea871e18ba8268a6cf7e46f5f29ad7c88e56d32,4f313ebc481a77e8ad2179cf2d7a3836b28d50773ef9f62ef08831bf076637e5,756.2350308690002,completed
DATA-A,3145728,wikitext_103,perplexity,262.02595919508235,1724130b72a9eb950658b61c0ea871e18ba8268a6cf7e46f5f29ad7c88e56d32,4f313ebc481a77e8ad2179cf2d7a3836b28d50773ef9f62ef08831bf076637e5,78.27007792600034,completed
DATA-C,3145728,hellaswag,"acc,none",0.25851424019119695,f8eb483f19e19035a20f24b2ae00aeda0ab7a4e7bb519fdc78ee936f63b1b7a3,4f313ebc481a77e8ad2179cf2d7a3836b28d50773ef9f62ef08831bf076637e5,719.0542167820004,completed
DATA-C,3145728,hellaswag,"acc_norm,none",0.24795857398924517,f8eb483f19e19035a20f24b2ae00aeda0ab7a4e7bb519fdc78ee936f63b1b7a3,4f313ebc481a77e8ad2179cf2d7a3836b28d50773ef9f62ef08831bf076637e5,719.0542167820004,completed
DATA-C,3145728,arc_easy,"acc,none",0.265993265993266,f8eb483f19e19035a20f24b2ae00aeda0ab7a4e7bb519fdc78ee936f63b1b7a3,4f313ebc481a77e8ad2179cf2d7a3836b28d50773ef9f62ef08831bf076637e5,719.0542167820004,completed
DATA-C,3145728,arc_easy,"acc_norm,none",0.26851851851851855,f8eb483f19e19035a20f24b2ae00aeda0ab7a4e7bb519fdc78ee936f63b1b7a3,4f313ebc481a77e8ad2179cf2d7a3836b28d50773ef9f62ef08831bf076637e5,719.0542167820004,completed
DATA-C,3145728,piqa,"acc,none",0.5228509249183896,f8eb483f19e19035a20f24b2ae00aeda0ab7a4e7bb519fdc78ee936f63b1b7a3,4f313ebc481a77e8ad2179cf2d7a3836b28d50773ef9f62ef08831bf076637e5,719.0542167820004,completed
DATA-C,3145728,piqa,"acc_norm,none",0.500544069640914,f8eb483f19e19035a20f24b2ae00aeda0ab7a4e7bb519fdc78ee936f63b1b7a3,4f313ebc481a77e8ad2179cf2d7a3836b28d50773ef9f62ef08831bf076637e5,719.0542167820004,completed
DATA-C,3145728,winogrande,"acc,none",0.494869771112865,f8eb483f19e19035a20f24b2ae00aeda0ab7a4e7bb519fdc78ee936f63b1b7a3,4f313ebc481a77e8ad2179cf2d7a3836b28d50773ef9f62ef08831bf076637e5,719.0542167820004,completed
DATA-C,3145728,wikitext_103,perplexity,211.77839887711028,f8eb483f19e19035a20f24b2ae00aeda0ab7a4e7bb519fdc78ee936f63b1b7a3,4f313ebc481a77e8ad2179cf2d7a3836b28d50773ef9f62ef08831bf076637e5,79.41109600900018,completed
