model,dataset,tokens,task,accuracy
Co4-L,DATA-C,25000000,hellaswag,0.26010754829715194
Co4-L,DATA-C,25000000,arc_easy,0.2845117845117845
Co4-L,DATA-C,25000000,piqa,0.5201305767138193
Co4-L,DATA-C,25000000,winogrande,0.48145224940805054
Co4-L,DATA-C,50000000,hellaswag,0.2629954192391954
Co4-L,DATA-C,50000000,arc_easy,0.2962962962962963
Co4-L,DATA-C,50000000,piqa,0.5418933623503809
Co4-L,DATA-C,50000000,winogrande,0.5059194948697711
Co4-L,DATA-C,100000000,hellaswag,0.26419040031866164
Co4-L,DATA-C,100000000,arc_easy,0.2975589225589226
Co4-L,DATA-C,100000000,piqa,0.5337323177366703
Co4-L,DATA-C,100000000,winogrande,0.4964483030781373
