model,tokens,common_validation_loss,common_validation_perplexity,cumulative_training_seconds,interval_training_seconds,tokens_per_second,peak_rss_bytes
Co4-L,1000448,4.482193931937218,88.42846604900733,200.59716136106726,200.59716136106726,4987.348740190952,2936336384
Co4-L,3000320,3.9255517423152924,50.68103321671609,600.6474241910073,400.05026282994004,4995.143372238771,2989920256
Co4-L,5000192,3.771231383085251,43.43351521612073,1001.1615197188876,400.5140955278803,4994.390916466691,3006951424
Co4-L,7499776,3.639259323477745,38.063633442291135,1501.6838664510105,500.52234673212297,4994.244239784316,3016232960
Co4-L,10000000,3.5749310553073883,35.69215994582878,2004.038078111007,502.3542116599965,4989.9251462456905,3132907520
Co4-L,15000192,3.46490715444088,31.973491038663255,3013.112585469993,1009.074507358986,4978.304518833714,3132907520
Co4-L,20000384,3.378953754901886,29.340058157425695,4022.694735488083,1009.58215001809,4971.88708443553,3132907520
Co4-L,25000000,3.3286044895648956,27.899380647452972,5035.275687180936,1012.580951692853,4964.971444095164,3132907520
Co4-L,30000192,3.2712108492851257,26.343217705751712,6037.981153248871,1002.705466067935,4986.700650598855,3039940608
Co4-L,35000384,3.259790748357773,26.044086804358006,7033.690494335882,995.7093410870111,5004.158277948861,3039940608
Co4-L,39999552,3.241771414875984,25.57899264682841,8027.635835818728,993.9453414828458,5012.615880086568,3039940608
Co4-L,50000000,3.2081798762083054,24.734026240028594,10053.670628647651,2026.034792828923,4981.672485245513,3039940608
Co4-L,60000384,3.1823146045207977,24.102476740240657,12099.80186331538,2046.1312346677296,4887.459724265417,3278340096
Co4-L,74999936,3.158946454524994,23.54577631097775,15158.733652900319,3058.931789584938,4897.086653236715,3278340096
Co4-L,89999488,3.135461136698723,22.999239190283753,18224.126432429908,3065.3927795295895,4895.625037404093,3278340096
Co4-L,100000000,3.1347223222255707,22.982253294983767,20268.695470971597,2044.5690385416892,4894.750700246448,3278340096
