experiment,params,memory_params,context,tokens_trained,wall_seconds,tokens_per_second,train_loss,val_loss,val_ppl,peak_rss_bytes,torch_threads,triton_enabled,data_source,checkpoint
dense_smoke,123392,0,32,1536,0.3563,4311.546,4.644967,4.518076,91.6591,285274112,1,False,built-in synthetic smoke corpus (correctness only; not a quality result),C:\Users\prshe\OneDrive\Documents\ChatGPT\latticelm\artifacts\checkpoints\dense_smoke_step12.pt
lattice_64k_smoke,177792,54400,32,1536,0.3436,4470.139,4.757721,4.649613,104.54449,286162944,1,False,built-in synthetic smoke corpus (correctness only; not a quality result),C:\Users\prshe\OneDrive\Documents\ChatGPT\latticelm\artifacts\checkpoints\lattice_64k_smoke_step12.pt
dense_128_public_short,7082240,0,128,1024,1.4971,683.975,8.362305,7.857472,2584.97755,511815680,4,False,Tiny Shakespeare 100K-character public subset (GitHub source),C:\Users\prshe\OneDrive\Documents\ChatGPT\latticelm\artifacts\checkpoints\dense_128_public_short_step1.pt
lattice_64k_128_public_short,19747584,12665344,128,1024,4.344,235.726,8.414916,7.777171,2385.51734,765485056,4,False,Tiny Shakespeare 100K-character public subset (GitHub source),C:\Users\prshe\OneDrive\Documents\ChatGPT\latticelm\artifacts\checkpoints\lattice_64k_128_public_short_step1.pt
dense_128_public_12,7082240,0,128,12288,16.2171,757.721,6.175738,6.15373,470.46885,463618048,4,False,Tiny Shakespeare 100K-character public subset (GitHub source),C:\Users\prshe\OneDrive\Documents\ChatGPT\latticelm\artifacts\checkpoints\dense_128_public_12_step12.pt
lattice_64k_128_public_12,19747584,12665344,128,12288,18.6949,657.292,6.191378,6.153592,470.40402,697233408,4,False,Tiny Shakespeare 100K-character public subset (GitHub source),C:\Users\prshe\OneDrive\Documents\ChatGPT\latticelm\artifacts\checkpoints\lattice_64k_128_public_12_step12.pt
dense_128_public_12_matched,7082240,0,128,12288,17.9497,684.581,6.175738,6.15373,470.46885,468594688,4,False,Tiny Shakespeare 100K-character public subset (GitHub source),C:\Users\prshe\OneDrive\Documents\ChatGPT\latticelm\artifacts\checkpoints\dense_128_public_12_matched_step12.pt
lattice_64k_128_public_12_matched,19747584,12665344,128,12288,25.0983,489.594,6.309117,6.266404,526.58055,713846784,4,False,Tiny Shakespeare 100K-character public subset (GitHub source),C:\Users\prshe\OneDrive\Documents\ChatGPT\latticelm\artifacts\checkpoints\lattice_64k_128_public_12_matched_step12.pt
lattice_64k_128_public_12_fair,19747584,12665344,128,12288,21.9032,561.013,6.173006,6.152784,470.02428,711884800,4,False,Tiny Shakespeare 100K-character public subset (GitHub source),C:\Users\prshe\OneDrive\Documents\ChatGPT\latticelm\artifacts\checkpoints\lattice_64k_128_public_12_fair_step12.pt
lattice_64k_128_vectorized_12,19747584,12665344,128,12288,15.1928,808.802,6.17027,6.150152,468.78866,716926976,4,False,Tiny Shakespeare 100K-character public subset (GitHub source),C:\Users\prshe\OneDrive\Documents\ChatGPT\latticelm\artifacts\checkpoints\lattice_64k_128_vectorized_12_step12.pt
lattice_hybrid_12,17035044,12665344,128,12288,43.6306,281.637,6.230145,6.199381,492.44422,682471424,4,False,Tiny Shakespeare 100K-character public subset (GitHub source),C:\Users\prshe\OneDrive\Documents\ChatGPT\latticelm\artifacts\checkpoints\lattice_hybrid_12_step12.pt
co4_inspired_12,13961984,12665344,128,12288,15.2996,803.157,6.575539,6.548297,698.05444,584044544,4,False,Tiny Shakespeare 100K-character public subset (GitHub source),C:\Users\prshe\OneDrive\Documents\ChatGPT\latticelm\artifacts\checkpoints\co4_inspired_12_step12.pt
lattice_128k_128_12,32330496,25248256,128,12288,24.3619,504.393,6.172015,6.146013,466.85245,666968064,4,False,Tiny Shakespeare 100K-character public subset (GitHub source),C:\Users\prshe\OneDrive\Documents\ChatGPT\latticelm\artifacts\checkpoints\lattice_128k_128_12_step12.pt
dense_128,7082240,0,128,614400,530.3726,1158.431,1.755571,2.251499,9.50197,514613248,4,False,Tiny Shakespeare 100K-character public subset (GitHub source),C:\Users\prshe\OneDrive\Documents\ChatGPT\latticelm\artifacts\checkpoints\dense_128_step600.pt
lattice_64k_128,19747584,12665344,128,614400,612.858,1002.516,0.863644,2.749724,15.63832,558505984,4,False,Tiny Shakespeare 100K-character public subset (GitHub source),C:\Users\prshe\OneDrive\Documents\ChatGPT\latticelm\artifacts\checkpoints\lattice_64k_128_step600.pt
