checkpoint,nominal_tokens,training_tokens,step,train_loss,common_validation_loss,common_validation_perplexity,data_d_balanced_validation_loss,fineweb_edu_validation_loss,wikipedia_validation_loss,fineweb_validation_loss,cumulative_training_seconds,interval_training_seconds,tokens_per_second,peak_rss_bytes,learning_rate,fineweb_edu_tokens,wikipedia_tokens,fineweb_tokens,fineweb_edu_sequences_drawn,wikipedia_sequences_drawn,fineweb_sequences_drawn,checkpoint_sha256,preemptions
co4-l-data-d-v2r1-1000000,1000000,1000448,977,4.861785411834717,5.5698986649513245,262.4075068154534,5.04578760266304,5.046930283308029,5.032649397850037,5.2039002776145935,206.4554008919804,206.4554008919804,4845.831088349414,1602920448,0.0003,500224,250112,250112,3908,1954,1954,5958a80063ee836d14278740b43105c3a8ff3731e8f05c7ab09f0dc726ab539e,0
co4-l-data-d-v2r1-3000000,3000000,3000320,2930,4.2628912925720215,5.06987664103508,159.1546929740968,4.395353436470032,4.383468359708786,4.3373022973537445,4.582118988037109,622.4663112569833,416.0109103650029,4820.052018463899,1703825408,0.0003,1500160,750080,750080,11720,5860,5860,6e037edeb653f64d5515adb22883066ad6dc641949a38ad7e8735e950779c889,0
co4-l-data-d-v2r1-5000000,5000000,5000192,4883,4.0351176261901855,4.884964257478714,132.28573702402298,4.184061378240585,4.181202933192253,4.131561532616615,4.388397991657257,1036.788196976995,414.3218857200118,4822.770952234276,1703825408,0.0003,2500096,1250048,1250048,19532,9766,9766,96190b11d0d4d8661e194e24c2a64fbc5a9907d7379f951436f2ab726a15cf2b,0
co4-l-data-d-v2r1-7500000,7500000,7499776,7324,3.8570492267608643,4.813706696033478,123.18739050121005,4.055696576833725,4.046557247638702,3.998403400182724,4.277577608823776,1551.2214246029907,514.4332276259956,4834.755297374418,1703841792,0.0003,3749888,1874944,1874944,29296,14648,14648,8e123c27ffcfe571ac0d533eafb9cfe97278ca489d9acd1acc432c78337f7e0a,0
co4-l-data-d-v2r1-10000000,10000000,10000384,9766,3.974315643310547,4.746725797653198,115.20645707084589,3.968971163034439,3.9618498384952545,3.9075991362333298,4.194436594843864,2066.723870454007,515.5024458510161,4838.761550570938,1703841792,0.0003,5000192,2500096,2500096,39064,19532,19532,68d8cf88c31208ade2fcedda8b747f91c93a886eb7b2fc12eb1867238aea7c8a,0
co4-l-data-d-v2r1-15000000,15000000,14999552,14648,3.8030240535736084,4.66501584649086,106.16726758728078,3.8651075959205627,3.855910062789917,3.7837516367435455,4.082385137677193,3086.511346866988,1019.787476412981,4859.71062935684,1703841792,0.0003,7499776,3749888,3749888,58592,29296,29296,b3fa57af29dffb929f0625eb355c669f0dee52aaf9495d3f72e5625b94bd556b,0
co4-l-data-d-v2r1-20000000,20000000,19999744,19531,3.7301130294799805,4.63714174926281,103.2488144305939,3.796337381005287,3.7888213247060776,3.697286933660507,4.025388091802597,4108.940688425995,1022.4293415590073,4867.372278294255,1704861696,0.0003,9999872,4999936,4999936,78124,39062,39062,df634113c442cec21da9de558eaf6bd8c8c77ec8a6380da6c947d96ceacb0863,0
co4-l-data-d-v2r1-25000000,25000000,24999936,24414,3.704158306121826,4.501074448227882,90.1139020259843,3.733978420495987,3.719052106142044,3.610825777053833,3.9608476161956787,5135.6912945799995,1026.7506061540043,4867.881374876235,1704861696,0.0003,12499968,6249984,6249984,97656,48828,48828,d5e225866a32bcd847fb82d546cd5eb58158db607c0ce3d4a013ada360e5740a,0
co4-l-data-d-v2r1-35000000,35000000,35000320,34180,3.528841972351074,4.470116063952446,87.3668625683937,3.638896033167839,3.6363580524921417,3.486045777797699,3.880890280008316,7185.392601743981,2049.7013071639813,4871.0379432162135,1727705088,0.0003,17500160,8750080,8750080,136720,68360,68360,c18544d2a383d438b57fbda8e68f8b0994211a8ccdc6a6545bb552c55d9a8885,0
co4-l-data-d-v2r1-50000000,50000000,49999872,48828,3.6786348819732666,4.356669068336487,77.99689891010534,3.5689002871513367,3.5597935020923615,3.417823940515518,3.813057005405426,10259.678167799982,3074.2855660560017,4873.434739592971,1728012288,0.0003,24999936,12499968,12499968,195312,97656,97656,d6ed24daa65ec1244ca426f1f674c55ba8785db9517dfd594b274c0064d49ad4,0
co4-l-data-d-v2r1-75000000,75000000,74999808,73242,3.3734264373779297,4.234424874186516,69.02197099892206,3.4963055551052094,3.5030252784490585,3.323971912264824,3.7574715316295624,15360.613559842983,5100.935392043,4882.604962868856,1735835648,0.0003,37499904,18749952,18749952,292968,146484,146484,2ff5edb29ac5e4bba1fa2db37cc6149174218270e3be08c70b005fb8c613bf68,0
co4-l-data-d-v2r1-100000000,100000000,99999744,97656,3.4129347801208496,4.15494504570961,63.7484612001031,3.4695674031972885,3.468556672334671,3.302423268556595,3.7194694727659225,20417.956164842006,5057.342604999023,4897.6373145609505,1736359936,0.0003,49999872,24999936,24999936,390624,195312,195312,7a6fcebe2dc944be13135c321bf7b0a72c71d27d051c13aea1de11f0ee526845,0
co4-l-data-d-v2r1-100000000,100000000,100000000,97657,3.621330738067627,4.1564346849918365,63.84349417694259,3.4700144231319427,3.4685002118349075,3.3020965307950974,3.719732105731964,20426.24488800799,8.288723165984266,4895.662445460489,1736359936,0.0003,50000000,25000000,25000000,390628,195314,195314,0bd3bd6b1aed9afb388a38f9e9543339acf19b63d136c40a3900d468b8b65423,0
